,headline,display_date,generated_topics_neutral,generated_topics_bear,generated_topics_bull
841,Texas Air Says Claim Against People's Unit Dropped by 4 Unions,1986-10-17 06:00:00.000,Labor Disputes,Legal Uncertainty,Labor Dispute
842,Two British Firms Launch Eurobonds During Quiet Session --- Special to The Wall Street Journal ---- Special to The Wall Street Journal,1986-10-28 07:00:00.000,Cross-Border Financing,Market Liquidity,Cross-border Investment
843,At the Lido in Paris Pace Quickens Glitz Grows Profits Don't --- Volcano Erupts Palm Trees Roll and Waterfall Falls; But Chimps Aren't Topless ---- By Roger Ricklefs Staff Reporter of The Wall Street Journal,1986-10-02 06:00:00.000,Market Volatility,Market Volatility,Tourism Resilience
844,Bertelsmann Makes $200 Million Offering In Eurobond Market --- Special to The Wall Street Journal ---- Special to The Wall Street Journal,1986-10-24 06:00:00.000,Eurobond issuance,Refinancing Risk,Eurobond issuance
845,Air Products Says Net For Fiscal 1986 Was 'Few Cents' a Share,1986-10-15 06:00:00.000,Earnings Uncertainty,Earnings Uncertainty,Earnings Volatility
846,Three Big Banks' Earnings Grew In Third Quarter --- Bank of New England Posts 33% Rise Chemical 3.7% First Bank System 20% --- A Wall Street Journal News Roundup,1986-10-10 06:00:00.000,Bank Earnings Growth,Banking Sector Growth,Bank Earnings Growth
847,A Special Summary and Forecast Of Federal and State Tax Developments ---- By Scott R. Schmedel,1986-10-29 07:00:00.000,Tax policy changes,Tax Policy Uncertainty,Tax Policy Changes
848,Changing Times for Financial Planners: Tax Overhaul Media Awareness and Food ---- By Earl C. Gottschalk Jr. and Robert L. Rose Staff Reporters of The Wall Street Journal,1986-10-24 06:00:00.000,Tax Policy Changes,Regulatory Uncertainty,Regulatory Changes
849,Thinking of Buying Or Selling a House? Ask Your Astrologer --- Mercury May Be Retrograde And That Means Trouble; Feng Shui and a Lamppost ---- By Kathleen A. Hughes Staff Reporter of The Wall Street Journal,1986-10-10 06:00:00.000,Real Estate Market Uncertainty,Market Uncertainty,Market Timing
850,Three Concerns Make Eurobond Offerings In Canadian Dollars --- Special to The Wall Street Journal ---- Special to The Wall Street Journal,1986-11-19 07:00:00.000,Currency Risk,Currency Risk,Currency Diversification
851,Nynex Corp.'s Proposal to Restructure Long-Distance Prices Is Rejected by FCC ---- By Bob Davis and Janet Guyon Staff Reporters of The Wall Street Journal,1986-11-26 07:00:00.000,Regulatory Rejection,Regulatory Intervention,Regulatory Risk
852,Merrill Lynch Could Get $200 Million In Fees on a Goldsmith Bid for Goodyear ---- By James B. Stewart Staff Reporter of The Wall Street Journal,1986-11-05 07:00:00.000,Financial Fees,Conflict of Interest,Fee Revenue
853,Centocor Will Post Loss for 4th Period Year Due to Charge,1986-11-03 07:00:00.000,Earnings Loss,Earnings Warning,Earnings Volatility
854,A Special Summary and Forecast Of Federal and State Tax Developments ---- By Scott R. Schmedel,1986-11-12 07:00:00.000,Tax Policy Changes,Tax Policy Uncertainty,Tax Policy
855,Goodyear Responding to Takeover Bid Seeks Buyer for Its Oil and Gas Unit ---- By Ralph E. Winter and Gregory Stricharchuk Staff Reporters of The Wall Street Journal,1986-11-04 07:00:00.000,Divestment Risk,Divestment Risk,Divestment Opportunity
856,Dollar's Rally Pauses; Election Results Awaited --- Defensive Positions Taken By Speculators in Case Democrats Sweep Senate ---- By Charles W. Stevens Staff Reporter of The Wall Street Journal,1986-11-04 07:00:00.000,Political Uncertainty,Political Uncertainty,Market Uncertainty
857,Coastal Relied on In-House Attorney; Now It Savors $549 Million Judgement ---- By Matt Moffett Staff Reporter of The Wall Street Journal,1986-11-21 07:00:00.000,Legal Risks,Legal Risk,Legal Settlement
858,American Impulse To Go West Fades Census Data Show --- Growth From People Moving Into the Region Halts; National Mobility Jumps ---- By Eugene Carlson Staff Reporter of The Wall Street Journal,1986-11-21 07:00:00.000,Population Migration,Population Decline,Migration slowdown
859,Sears Is Exploring Ways It Can Enter Business of Selling Merchandise on TV ---- By Steve Weiner and Richard Gibson Staff Reporters of The Wall Street Journal,1986-11-05 07:00:00.000,Retail Diversification,Market Disruption,Innovative Retail Strategies
860,Shad Defends SEC Move to Allow Boesky To Sell Holdings Before Probe Disclosure ---- By Bruce Ingersoll Staff Reporter of The Wall Street Journal,1986-11-24 07:00:00.000,Insider Trading Risk,Insider Trading,Regulatory Flexibility
861,Currency Trading Is Likely to Be Slow For the Rest of '86 ---- By Charles W. Stevens Staff Reporter of The Wall Street Journal,1986-11-24 07:00:00.000,Liquidity Constraints,Liquidity Constraints,Low Liquidity
862,Tokyo Shares Fall; Stocks Rise Slightly In London Dealings --- A Wall Street Journal News Roundup,1986-11-05 07:00:00.000,Market Volatility,Market Volatility,Market Volatility
863,Simplified Pension Plans Get A Boost From New Tax Law ---- By Steven P. Galante Staff Reporter of The Wall Street Journal,1986-11-17 07:00:00.000,Tax Incentives,Tax Incentives,Tax Incentives
864,Dreams of Wealth at Investment Seminar Are Unsettled by Pessimistic Forecasts ---- By Alexandra Peers Staff Reporter of The Wall Street Journal,1986-11-17 07:00:00.000,Market Volatility,Market Confidence,Market Volatility
865,GM Still Faces Disruption of Output Car Surplus After Settlement in Indiana ---- By Dale D. Buss Staff Reporter of The Wall Street Journal,1986-11-24 07:00:00.000,Automotive Supply Chain Disruption,Automotive Industry Disruption,Supply Chain Disruption
866,Peoples Jewellers Swarovski Won't Use Drexel's 'Junk' Bonds in Buying Zale ---- By Jacquie McNish Staff Reporter of The Wall Street Journal,1986-11-26 07:00:00.000,Bond Quality,Credit Risk,Alternative Financing
867,Nynex's Long-Distance Pricing Plan Is Set to Be Decided Today by the FCC ---- By Johnnie L. Roberts Staff Reporter of The Wall Street Journal,1986-11-25 07:00:00.000,Regulatory Decision Risk,Regulatory Intervention,Regulatory Approval
868,Long-Term Speculative Bonds Decline; Fears Over Effects of Boesky Case Cited ---- By Randall Smith Staff Reporter of The Wall Street Journal,1986-11-18 07:00:00.000,Market Volatility,Market Instability,Regulatory Uncertainty
869,Doubts Over Financing by Drexel Put Takeover Stocks Into Tailspin ---- By Michael W. Miller Staff Reporter of The Wall Street Journal,1986-11-19 07:00:00.000,Financing Risks,Financing Risks,Financing Uncertainty
870,Lilco Seeks Rate Rise Of 5% or $82.9 Million Cites New Plant Costs,1986-11-28 07:00:00.000,Rate Hike,Regulatory Risk,Regulatory Rate Hike
871,McLean Files For Protection Of Chapter 11 --- Shipping Company Facing Cash Flow Woes Also Suspends Some Service ---- By Daniel Machalaba Staff Reporter of The Wall Street Journal,1986-11-25 07:00:00.000,Bankruptcy Risk,Shipping insolvency,Shipping Industry Resilience
872,Mitel Corp. Posts Loss For Fiscal 2nd Period; Says It Will Close Sites,1986-11-10 07:00:00.000,Corporate Restructuring,Operational Restructuring,Operational Restructuring
873,International Corporate Report: Royal Dutch/Shell Group Income Up 29% in Quarter,1986-11-07 07:00:00.000,Earnings Volatility,Profit Dependency,Corporate Growth
874,Italian Bank Receives Lackluster Response For Eurobond Issue --- Special to The Wall Street Journal ---- Special to The Wall Street Journal,1986-11-05 07:00:00.000,Bank Funding Risk,Banking Sector Risk,Market Sentiment
875,Texaco Shuffles Management as Kinnear Prepares to Take Over as Chief Executive ---- By Allana Sullivan Staff Reporter of The Wall Street Journal,1986-12-04 07:00:00.000,Management Transition,Management Change,Leadership Transition
876,How to Turn $5 000 Into $1 Million: First Give Yourself Some 90 Years ---- By Paul R. Martin Staff Reporter of The Wall Street Journal,1986-12-24 07:00:00.000,Long-term Investment Risk,Long-term Investment Risk,Long-term Growth
877,Sam Hall Prisoner of the Sandinistas Said by Some to Be Hero in Own Mind ---- By Dianna Solis Staff Reporter of The Wall Street Journal,1986-12-16 07:00:00.000,Political instability,Political instability,Political instability
878,Manville Its Bankruptcy Plan in Hand Girds for the Long Haul to Pay Its Debts ---- By Cynthia F. Mitchell Staff Reporter of The Wall Street Journal,1986-12-18 07:00:00.000,Bankruptcy Risk,Bankruptcy Risk,Debt Restructuring
879,Hi-Shear Says Revenue And Operating Net Fell In Fiscal 2nd Quarter,1986-12-02 07:00:00.000,Earnings Decline,Earnings Decline,Market Volatility
880,Lucky to Redeem 'Poison-Pill' Rights In Proposed Settlement of Holder Suits ---- By James P. Miller Staff Reporter of The Wall Street Journal,1986-12-12 07:00:00.000,Corporate Governance Risk,Corporate Governance Risks,Shareholder Rights
881,White House Shows Readiness to Work On New Trade Bill ---- By Art Pine Staff Reporter of The Wall Street Journal,1986-12-05 07:00:00.000,Trade Policy,Trade Policy Uncertainty,Trade Policy
882,Hospital Firm Sees Defeat of Bid to Shift In Partnerhsip Form,1986-12-22 07:00:00.000,Legal/Regulatory Risks,Regulatory Uncertainty,Regulatory Uncertainty
883,Dollar Continues to Fall in Thin Trading In What Dealers Term a Day of Ironies ---- By Michael R. Sesit Staff Reporter of The Wall Street Journal,1986-12-24 07:00:00.000,Currency Depreciation,Currency Depreciation,Currency Depreciation
884,Stocks in General Decline Slightly But Some Blue Chips Are Hit Hard ---- By Beatrice E. Garcia,1986-12-19 07:00:00.000,Market Volatility,Market Volatility,Market Volatility
885,Cannon Group May Get an Extension Of Monday's Deadline for Debt Payment ---- By Michael Cieply Staff Reporter of The Wall Street Journal,1986-12-11 07:00:00.000,Debt Default Risk,Debt Default Risk,Debt Extension
886,Diamond Shamrock Studying Mesa Bid; But Rejection and Long Battle Expected ---- By Karen Blumenthal Staff Reporter of The Wall Street Journal,1986-12-15 07:00:00.000,M&A Regulation,M&A Resistance,Regulatory Hurdles
887,Most Short-Term Interest Rates Decline But Bonds Change Little in Slow Session ---- By Edward P. Foldessy and Tom Herman Staff Reporters of The Wall Street Journal,1986-12-19 07:00:00.000,Interest Rate Stability,Interest Rate Stability,Interest Rate Stability
888,Pratt Hotel to Make $135-a-Share Offer For Resorts Class B ---- By Karen Blumenthal Staff Reporter of The Wall Street Journal,1986-12-01 07:00:00.000,Mergers and Acquisitions,Overvaluation,Mergers & Acquisitions
889,Floating-Rate Notes Plunge as Dealers Cut Eurodollar Holdings --- Special to The Wall Street Journal ---- Special to The Wall Street Journal,1986-12-03 07:00:00.000,Interest Rate Risk,Liquidity Risk,Interest Rate Fluctuations
890,Gillette to Take Pre-Tax Charge Of $190 Million --- Firm Sees 4th-Period Loss; Plans Work Force Cuts Unit Sales in Revamping ---- By Linda M. Watkins Staff Reporter of The Wall Street Journal,1986-12-19 07:00:00.000,Corporate Restructuring,Profitability Concerns,Cost Restructuring
891,International Corporate Report: High Court Rules Against Hanson in Pension Case,1986-12-11 07:00:00.000,Legal Risk,Legal Uncertainty,Legal Uncertainty
892,Treasury Issues Rules to Help U.S. Firms Sell Dollar Other Non-Yen Debt in Japan ---- By Michael R. Sesit Staff Reporter of The Wall Street Journal,1986-12-18 07:00:00.000,Currency Diversification,Currency Diversification Risks,International Debt Markets
893,In Arbitrage Risks Are Burgeoning Along With Profits --- Hazards Increase as New Practitioners Try to Anticipate Takeovers ---- By Beatrice E. Garcia and George Anders Staff Reporters of The Wall Street Journal,1986-12-23 07:00:00.000,Arbitrage Risks,Market Instability,Market Arbitrage
894,Alleghany to Pay Less Taxes if Plan Is Completed by '86 ---- By Michael Waldholz Staff Reporter of The Wall Street Journal,1986-12-04 07:00:00.000,Tax Policy,Tax Avoidance,Tax Incentives
895,Videocassette Makers Bid to Turn Movie Renters Into Movie Buyers ---- By Laura Landro Staff Reporter of The Wall Street Journal,1986-12-05 07:00:00.000,Digital Transformation,Obsolescence,Market Transformation
896,Consortium Set For Honeywell's Computer Line --- Foreign Giants Bull NEC To Hold Majority Stake In New 3-Way Venture ---- By Richard Gibson and E.S. Browning Staff Reporters of The Wall Street Journal,1986-12-02 07:00:00.000,Foreign Investment,Foreign Competition,Foreign Investment
897,Nicaragua and Honduras Work To Avoid Escalating Border Clash --- Fighting Appears to Subside With Honduran Troops Retaking Control of Area ---- By Clifford Krauss Staff Reporter of The Wall Street Journal,1986-12-09 07:00:00.000,Border Tensions,Regional Instability,Regional Stability
898,For Many Collectors This 'P' May Really Stand for 'Providential' ---- By Michael Siconolfi Staff Reporter of The Wall Street Journal,1986-12-31 07:00:00.000,Market Speculation,Market Speculation,Niche Markets
899,U.S. Auto Sales Rose in Late November And Full Month Though GM's Declined ---- By Dale D. Buss Staff Reporter of The Wall Street Journal,1986-12-04 07:00:00.000,Auto Market Recovery,Auto Market Volatility,Auto Market Recovery
900,Venezuela Official Is Asked To Investigate Ericsson --- Special to The Wall Street Journal ---- Special to The Wall Street Journal,1987-01-22 07:00:00.000,Corruption Investigation,Corruption Risk,Geopolitical Risk
901,Two Insolvent Thrifts In Texas and Oregon Are Closed U.S. Says,1987-01-19 07:00:00.000,Banking Stability,Banking Stability,Banking Stability
902,International Corporate Report: Lonrho Reports 13% Rise In Earnings for Fiscal Year,1987-01-30 07:00:00.000,Earnings Growth,Earnings Sustainability,Earnings Growth
903,Lufthansa to Spend Up to $2.5 Billion For Airbus A-340s ---- By Susan Carey Staff Reporter of The Wall Street Journal,1987-01-16 07:00:00.000,Aircraft Fleet Expansion,Aircraft Fleet Expansion,Aircraft Investment
904,Trading Lull Persists As Eurobond Issues Get Modest Response --- Special to The Wall Street Journal ---- Special to The Wall Street Journal,1987-01-06 07:00:00.000,Market Liquidity,Market Liquidity,Market Liquidity
905,Westinghouse Ends Accord to Purchase GenCorp's Los Angeles Television Station ---- By Gregory Stricharchuk Staff Reporter of The Wall Street Journal,1987-01-30 07:00:00.000,Media Acquisition Risk,Market Consolidation,Market Shift
906,Vons and Allied Supermarkets Agree to Merge --- Some Assets Would Be Sold To Management; Pact Follows Earlier Accord ---- By Eileen White Staff Reporter of The Wall Street Journal,1987-01-02 07:00:00.000,Market Consolidation,Market Concentration,Market Consolidation
907,Johnson & Johnson Unit Says Ex-Aide Told to Return Data --- Special to The Wall Street Journal ---- Special to The Wall Street Journal,1987-01-07 07:00:00.000,Corporate Governance,Corporate Governance Risks,Corporate Governance
908,Bell Industries Inc. To Post Profit Rise For Its Second Quarter,1987-01-12 07:00:00.000,Earnings Growth,Earnings Overestimation,Corporate Growth
909,Trading in Home Shopping Network Halted After Stock Price Soared $12 --- A Wall Street Journal News Roundup,1987-01-20 07:00:00.000,Stock Volatility,Market Volatility,Market Volatility
910,Treasury Bond Prices Slump With Fall In Dollar's Value and Rise in Oil Price ---- By Edward P. Foldessy and Tom Herman Staff Reporters of The Wall Street Journal,1987-01-13 07:00:00.000,Currency Depreciation,Interest Rate Risk,Currency Depreciation
911,Japanese Firm to Stop Selling TVs to GE In Price Dispute Over Higher Yen Value ---- By Johnnie L. Roberts Staff Reporter of The Wall Street Journal,1987-01-07 07:00:00.000,Trade Disruption,Currency Appreciation,Currency Fluctuation Risks
912,German Central Bank Chief Believes Dollar Decline Has 'Gone Far Enough' ---- By Thomas F. O'Boyle Staff Reporter of The Wall Street Journal,1987-01-26 07:00:00.000,Currency Fluctuation,Currency Depreciation,Currency Stabilization
913,Shultz's Plan to Meet Outlawed Black Marks Failure of South African Policy ---- By Robert S. Greenberger Staff Reporter of The Wall Street Journal,1987-01-12 07:00:00.000,South African Policy Risks,South African Policy Risks,Policy Challenges
914,Eurobonds Decline But Demand Exists For Triple-A Issues --- Special to The Wall Street Journal ---- Special to The Wall Street Journal,1987-01-16 07:00:00.000,Credit Risk,Credit Risk,Eurobond Demand
915,Futures Markets: Foreign Currency Prices Rise Sharply But Analysts See Temporary Drop Soon ---- By Scott McMurray and John Valentine Staff Reporters of The Wall Street Journal,1987-01-20 07:00:00.000,Currency Volatility,Currency Volatility,Currency Volatility
916,FSLIC Sues Ex-Aidess Of New York Thrift To Regain $50 Million,1987-01-12 07:00:00.000,Regulatory Litigation,Regulatory Risk,Regulatory Litigation
917,The Other Deficit: Dollar's Decline Fails To Narrow Trade Gap As 1985 Pact Intended --- Some Key Nations' Currencies Haven't Joined the Rise; Profits Are Cut Elsewhere --- Traffic Across Detroit River ---- By Douglas R. Sease Staff Reporter of The Wall Street Journal,1987-01-07 07:00:00.000,Currency Appreciation,Dollar Decline,Currency Diversification
918,American Air Said to Weigh Pan Am Bid; Talks Are Termed 'Window-Shopping' ---- By William M. Carley and James B. Stewart Staff Reporters of The Wall Street Journal,1987-01-16 07:00:00.000,Aviation Industry Mergers,Market Consolidation,Mergers & Acquisitions
919,Trilogy Changes Name To Elxsi Ltd. to Show Its Focus on Computers,1987-01-16 07:00:00.000,Rebranding Risk,Rebranding Risk,Rebranding Opportunity
920,U.S. and Japan Reportedly Join To Intervene in Support of Dollar --- Currency Rises Against Yen But Falls More Than 1% Against Mark Swiss Unit ---- By Art Pine Staff Reporter of The Wall Street Journal,1987-01-29 07:00:00.000,Currency Intervention,Currency Intervention,Currency Intervention
921,ABA Panel Opposes Limits on Damages But Suggests Some Changes in Awards ---- By Stephen Wermiel Staff Reporter of The Wall Street Journal,1987-01-12 07:00:00.000,Legal Liability,Legal Liability,Legal Reform
922,U.S. Pension Unit Set to Take Over Three LTV Plans ---- By Cathy Trost and Cynthia F. Mitchell Staff Reporters of The Wall Street Journal,1987-01-13 07:00:00.000,Pension Fund Transfer,Pension insolvency,Pension Fund Stability
923,Aspin Loses Round to Stay Chairman Of the House Armed Services Committee ---- By David Shribman Staff Reporter of The Wall Street Journal,1987-01-08 07:00:00.000,Political Instability,Political instability,Political Uncertainty
924,USX Plans to Match Average 3% Price Rise Set by Competitors,1987-01-23 07:00:00.000,Price Inflation,Price Inflation Risk,Price Competition
925,Reporter's Detention Baffles Colleagues --- Journal Correspondent Still Being Held in Iran --- A Wall Street Journal News Roundup,1987-02-04 07:00:00.000,Press Freedom Risks,Press Freedom Risks,Geopolitical Tensions
926,Advertising Stocks Are Beginning to Attract Investors as Madison Avenue Looks Brighter ---- By Joanne Lipman,1987-02-12 07:00:00.000,Advertising Recovery,Market Overheating,Advertising Growth
927,High Court Upholds Affirmative Action In Alabama Plan on Police Promotions ---- By Stephen Wermiel Staff Reporter of The Wall Street Journal,1987-02-26 07:00:00.000,Legal Challenges,Legal Uncertainty,Legal Uncertainty
928,Unit of United Technologies Gets U.S. Job --- Pratt & Whitney Edges Out GE for a Larger Share Of Fighter-Jet Work,1987-02-02 07:00:00.000,Defense Contracting,Industrial Competition,Defense Sector Expansion
929,China's Conservative Shift Starts to Affect the Economy --- Deng's Reformers Are Backing Away From Free-Market Experiments ---- By James R. Schiffman Staff Reporter of The Wall Street Journal,1987-02-23 07:00:00.000,Regulatory Crackdown,Regulatory Crackdown,Regulatory Uncertainty
930,Canada Lumber Producers May Face Price Cuts When Stocks are Replenished ---- By Alan Freeman Staff Reporter of The Wall Street Journal,1987-02-17 07:00:00.000,Lumber Price Decline,Lumber Price Decline,Lumber Price Fluctuation
931,Personal Taxes (A Special Report): Planning for '87 --- Overview of the New Tax Code,1987-02-27 07:00:00.000,Tax Policy,Tax Policy,Tax Reform
932,Israel Seeks to Obtain the Kind of Financial Aid That NATO Members Get From U.S. Government ---- By Robert S. Greenberger Staff Reporter of The Wall Street Journal,1987-02-03 07:00:00.000,Foreign Aid,Potential Security-Related Financial Burden,Foreign Aid
933,House Votes Against Increases in Pay But Raises Apparently Remain in Effect ---- By Jeffrey H. Birnbaum Staff Reporter of The Wall Street Journal,1987-02-05 07:00:00.000,Legislative Pay Restraints,Wage Inflation Risks,Government Spending
934,Yankee Cos. May Sell Its Boston-Based Bank In Whole or in Part,1987-02-06 07:00:00.000,Banking Sector Risk,Banking Sector Risk,Bank Divestment
935,London Shares Post A Sharp Advance; Tokyo Stocks Fall --- A Wall Street Journal News Roundup,1987-02-17 07:00:00.000,Market Volatility,Market Volatility,Market Volatility
936,The Next Memo Will Ask Why Workers Have So Much Free Time ---- By Larry Reibstein Staff Reporter of The Wall Street Journal,1987-02-24 07:00:00.000,Labor Market Dynamics,Labor Market Slack,Labor Market Flexibility
937,U.S. to Impose Duties On Imports of Brass From Four Countries,1987-02-13 07:00:00.000,Trade Tariffs,Trade Tensions,Trade Tariffs
938,Lockheed's Net Decreased 14% In 4th Quarter --- General Dynamics Reports A $326.1 Million Loss Cites Cessna Write-Off --- A Wall Street Journal News Roundup,1987-02-03 07:00:00.000,Defense Sector Profitability,Defense Sector Risks,Defense Sector Challenges
939,Somehow 'A Jug of Wine a Pile Of Fungi -- and Thou' Wouldn't Do ---- By Seth H. Lubove Staff Reporter of The Wall Street Journal,1987-02-12 07:00:00.000,Cultural Shifts in Consumer Preferences,Market Speculation,Market Sentiment
940,London Shares Fall But They Close Above Day's Lowest Levels --- A Wall Street Journal News Roundup,1987-02-13 07:00:00.000,Market Volatility,Market Volatility,Market Volatility
941,Joblessness Threatens Algeria's Stability --- Europe Fears New Flood Of Moslem Migrants ---- By Philip Revzin Staff Reporter of The Wall Street Journal,1987-02-25 07:00:00.000,Migration Risk,Migration Instability,Migration
942,International Corporate Report: Hitachi May Move Toward Making Computers in U.S.,1987-02-17 07:00:00.000,Manufacturing Relocation,Manufacturing Relocation Risks,Manufacturing Relocation
943,Australia Brewer Plans to Acquire Carling O'Keefe --- Elders to Offer $18 a Share; Controlling Shareholder Agrees to Tender Stake ---- By Gary Lamphier Staff Reporter of The Wall Street Journal,1987-02-24 07:00:00.000,Mergers and Acquisitions,Market Concentration,Market Consolidation
944,Dome Petroleum Is Proposing to Link Some Secured-Debt Payments to Oil Prices ---- By Jacquie McNish Staff Reporter of The Wall Street Journal,1987-02-19 07:00:00.000,Oil Price Volatility,Oil Price Risk,Oil Price Linkage
945,Honeywell Says Cost Controls to Account For Most of Year's Improvement in Profit ---- By Richard Gibson Staff Reporter of The Wall Street Journal,1987-02-19 07:00:00.000,Cost Management,Profit Margin Pressure,Cost Management
946,Prospect of GM Buyback or Dividend Increase Appears to Recede but Some Advise Patience ---- By Linda Sandler,1987-02-11 07:00:00.000,Shareholder Returns,Shareholder Returns,Shareholder Returns
947,U.S. Indictment Names 9 People 5 Firms In First Round of Defense-Bribe Charges ---- By Andy Pasztor Staff Reporter of The Wall Street Journal,1987-02-04 07:00:00.000,Corruption Risk,Corruption Risk,Corruption Risk
948,Congress Moves Toward Financial Aid Restructuring for Farm Credit System ---- By Albert R. Karr Staff Reporter of The Wall Street Journal,1987-02-18 07:00:00.000,Government Intervention,Farm Credit System Restructuring,Government Support
949,Bow Valley Says 20% Holder to Sell Part or All of Stake ---- By Jacquie McNish Staff Reporter of The Wall Street Journal,1987-02-23 07:00:00.000,Shareholder Selling,Share Dilution,Share Dilution
950,Dingell Is Unable To Heap Any Praise On Securities Sector --- He Likens That to Handling Keys for New Auto to Son Who Totaled Family Car ---- By Bruce Ingersoll Staff Reporter of The Wall Street Journal,1987-03-06 07:00:00.000,Regulatory Scrutiny,Regulatory Scrutiny,Regulatory Scrutiny
951,New York Merc Members Vote Today For Chairman and See Close Election ---- By Michael Siconolfi Staff Reporter of The Wall Street Journal,1987-03-17 07:00:00.000,Market Volatility,Market Instability,Market Volatility
952,Abrupt Loss of Support Throws Future Of Brazil's Finance Minister in Question ---- By Roger Cohen Staff Reporter of The Wall Street Journal,1987-03-26 07:00:00.000,Political instability,Political Instability,Political Instability
953,New Jersey Sales Of Stock Holdings Can Move Market --- Traders Watch Pension Plan As It Disposes of Equities Related to South Africa ---- By George Anders Staff Reporter of The Wall Street Journal,1987-03-17 07:00:00.000,Market Impact,Market Impact,Market Liquidity
954,Tokyo Stocks Notch Second Record Close; London Shares Slide --- A Wall Street Journal News Roundup,1987-03-12 07:00:00.000,Market Volatility,Market Overvaluation,Market Resilience
955,U S West Relying on Non-Phone Business To Increase Its 1987 Earnings 4% to 6% ---- By Johnnie L. Roberts Staff Reporter of The Wall Street Journal,1987-03-02 07:00:00.000,Diversification Risk,Overreliance on Non-Phone Revenue,Diversification
956,U.K.'s Plan to Sell BP Stake Is Meant To Avoid Dispute ---- By Paul Hemp Staff Reporter of The Wall Street Journal,1987-03-20 07:00:00.000,Government Asset Sale,Government Asset Sale,Government Asset Sale
957,Analysts See Risk to General Motors in Buyback Plan --- Stock Purchase Could Further Weaken The Auto Maker's Finances ---- By Doron P. Levin and Randall Smith Staff Reporters of The Wall Street Journal,1987-03-05 07:00:00.000,Share Buyback Risks,Corporate Debt,Share Buyback
958,Saudi Arabia Leads OPEC in Showdown With Oil Firms Over Prices and Supplies ---- By Youssef M. Ibrahim Staff Reporter of The Wall Street Journal,1987-03-03 07:00:00.000,Oil Market Tensions,Oil Market Tensions,Oil Market Dynamics
959,General Motors Plans To Expand the Use Of Air Bags in Its Cars,1987-03-06 07:00:00.000,Automotive Safety Regulations,Regulatory Costs,Automotive Safety Investment
960,Caesers World Stock Leaps as Investors Anticipate Competing Bids for Concern ---- By Roy J. Harris Jr. and Laurie P. Cohen Staff Reporters of The Wall Street Journal,1987-03-10 07:00:00.000,Mergers and Acquisitions,Mergers & Acquisitions,Mergers & Acquisitions
961,Firm Says AID Is No Help As Name Asks to Change It,1987-03-04 07:00:00.000,Brand Reputation,Regulatory Uncertainty,Brand Rebranding
962,Clorox Says Henkel Plans to Raise Stake In Firm Up to 30%,1987-03-20 07:00:00.000,Shareholder Influence,Market Concentration,Foreign Investment
963,Revolt at Stellenbosch Strikes at the Heart of Apartheid --- Cracks Appear in University's Support for South Africa's Ruling ---- By Roger Thurow Staff Reporter of The Wall Street Journal,1987-03-06 07:00:00.000,Higher Education Policy,Academic institutions risk,Educational Reform
964,Dear Jeffrey: Take Our Advice Stick to Reporting --- Our Man Is Semifinalist in Bid To Succeed Ann Landers; Why He'll Never Make It ---- By Jeffrey Zaslow Staff Reporter of The Wall Street Journal,1987-03-25 07:00:00.000,Media Bias,Media Bias,Media Opportunities
965,Airbus Unveils Its Battle Plan for Long-Range Market --- Consortium Has Commitments From Nine Airlines for A-330 or A-340 --- A Wall Street Journal News Roundup,1987-03-16 07:00:00.000,Market Competition,Market Saturation,Market Expansion
966,U.S. Is Tilting Toward Iraqis In the Gulf War --- Aide May Go to Baghdad As White House Tries To Regain Its Prestige ---- By Frederick Kempe Staff Reporter of The Wall Street Journal,1987-03-31 07:00:00.000,Diplomatic Tensions,Geopolitical Instability,Diplomatic Shifts
967,Housing Starts Climbed 2.6% For February --- Rate Hit 10-Month High; Single-Family Building Outpaced Larger Jobs ---- By Rose Gutfeld Staff Reporter of The Wall Street Journal,1987-03-18 07:00:00.000,Housing Market Recovery,Housing Bubble,Housing Market Growth
968,VW Incurs a Loss of Up to $259 Million From a Fraudulent Currency Contract ---- By Terence Roth Staff Reporter of The Wall Street Journal,1987-03-11 07:00:00.000,Currency risk,Financial Fraud,Regulatory Risk
969,Plastic Producers' Stocks Are Outperforming The Market and Signal Continuing Success ---- By Barry Meier,1987-03-25 07:00:00.000,Market Overperformance,Market Overvaluation,Market Resilience
970,Detroit Edison Faces Continued Uncertainty Despite Steps Toward Opening Nuclear Plant ---- By John Bussey,1987-03-05 07:00:00.000,Nuclear Plant Uncertainty,Nuclear Plant Risk,Regulatory Uncertainty
971,Conrail Initial Offer Expected to Raise Record Total of More Than $1.5 Billion ---- By George Anders and Richard Koenig Staff Reporters of The Wall Street Journal,1987-03-25 07:00:00.000,Equity Market Impact,Overleveraged IPO,Market Liquidity
972,Decision Is Expected to Accelerate Advancement of Women in Business --- A Wall Street Journal News Roundup,1987-03-26 07:00:00.000,Gender Diversity in Business,Gender Bias,Gender Diversity
973,Soviet Union Took Commanding Lead In Space Last Year --- U.S. Shuttle Disaster Gave It The Biggest Edge It's Had Since 1957 Survey Says ---- By Paulette Thomas Staff Reporter of The Wall Street Journal,1987-03-30 07:00:00.000,Space Race Competitiveness,Geopolitical Competition,Space Race
974,Bourse Report: Hong Kong Stocks Are Volatile of Late But Boost From Local Economy Is Seen ---- By Marcus W. Brauchli Special to The Wall Street Journal,1987-03-23 07:00:00.000,Market Volatility,Market Volatility,Market Volatility
